owner,study,year,date_applied,source_n,b0,b1,b2,b3,model
rosen lab,esn-nni,2020,2020-05-19,esn,0,3.4609984585301006,-0.032726149575754704,NA,q-p
rosen lab,esn-nni,2020,2020-04-24,esn,0,2.0120140893995075,-0.010864947273188076,NA,q-p
rosen lab,sanjay,2019,2019-05-23,esn,0,2.6960614552070177,-0.019861496157891165,NA,q-p
rosen lab,sanjay,2018,2018-05-22,esn,0,3.2360239059789313,-0.028448214531296846,NA,q-p
rosen lab,chloro,2016,2016-06-01,esn,0,9.165539782475708,-0.23087734164370058,NA,q-p
rosen lab,vxn,2015,2015-05-21,esn,0,2.7376885745930557,-0.021299598904694562,NA,q-p
rosen lab,vxn,2014,2014-05-05,esn,0,2.305038600940969,-0.01432785448945064,NA,q-p
rosen lab,vxn,2014,2014-06-05,esn,0,2.4437489447971568,-0.016606824617424177,NA,q-p
rosen lab,esn-nni,2020,2020-04-21,esn,0,2.0120140893995075,-0.010864947273188076,NA,q-p
rosen lab,vxn,2015,2015-04-18,esn,0,2.7376885745930557,-0.021299598904694562,NA,q-p
