location,variety,location:variety,N_max_diff,W_nodiff_min,W_nodiff_max
Argentina,Bannock Russet,Argentina:Bannock Russet,0.8392308013246605,1.3,2.5
Argentina,Gem Russet,Argentina:Gem Russet,1.1328139083707596,1.2,1.8
Argentina,Innovator,Argentina:Innovator,1.1398896310943338,1.2,1.7000000000000002
Argentina,Markies Russet,Argentina:Markies Russet,0.5701372040569934,2.1,4.9
Argentina,Umatilla Russet,Argentina:Umatilla Russet,0.6188091198523527,1,3.1
Belgium,Bintje,Belgium:Bintje,0.7864294819545501,NA,NA
Belgium,Charlotte,Belgium:Charlotte,0.7236867783650838,NA,NA
Canada,Russet Burbank,Canada:Russet Burbank,0.20167938445675038,1,3.1
Canada,Shepody,Canada:Shepody,0.2745795141988143,5.9,15.200000000000001
